IMAGE 2532560 4b4ee06366ff7cb9d3959ec6f16dc206bf7474cf4466e596f891547261aa925b
RESUME: preserved snapshot; destination and source blocks require CRC
STAGE openvela 0x40400000 2532560
CRC VERIFIED 1855488/2532560 (7.1s)
CRC VERIFIED 1859584/2532560 (7.1s)
CRC VERIFIED 1863680/2532560 (7.2s)
CRC VERIFIED 1867776/2532560 (7.2s)
CRC VERIFIED 1871872/2532560 (7.2s)
CRC VERIFIED 1875968/2532560 (7.2s)
CRC VERIFIED 1880064/2532560 (7.2s)
CRC VERIFIED 1884160/2532560 (7.2s)
CRC VERIFIED 1888256/2532560 (7.2s)
CRC VERIFIED 1892352/2532560 (7.3s)
CRC VERIFIED 1896448/2532560 (7.3s)
CRC VERIFIED 1900544/2532560 (7.3s)
CRC VERIFIED 1904640/2532560 (7.3s)
CRC VERIFIED 1908736/2532560 (7.3s)
CRC VERIFIED 1912832/2532560 (7.3s)
CRC VERIFIED 1916928/2532560 (7.4s)
CRC VERIFIED 1921024/2532560 (7.4s)
CRC VERIFIED 1925120/2532560 (7.4s)
CRC VERIFIED 1929216/2532560 (7.4s)
CRC VERIFIED 1933312/2532560 (7.4s)
CRC VERIFIED 1937408/2532560 (7.4s)
CRC VERIFIED 1941504/2532560 (7.5s)
CRC VERIFIED 1945600/2532560 (7.5s)
CRC VERIFIED 1949696/2532560 (7.5s)
CRC VERIFIED 1953792/2532560 (7.5s)
CRC VERIFIED 1957888/2532560 (7.5s)
CRC VERIFIED 1961984/2532560 (7.5s)
CRC VERIFIED 1966080/2532560 (7.5s)
CRC VERIFIED 1970176/2532560 (7.6s)
CRC VERIFIED 1974272/2532560 (7.6s)
CRC VERIFIED 1978368/2532560 (7.6s)
CRC VERIFIED 1982464/2532560 (7.6s)
CRC VERIFIED 1986560/2532560 (7.6s)
CRC VERIFIED 1990656/2532560 (7.6s)
CRC VERIFIED 1994752/2532560 (7.7s)
CRC VERIFIED 1998848/2532560 (7.7s)
CRC VERIFIED 2002944/2532560 (7.7s)
CRC VERIFIED 2007040/2532560 (7.7s)
CRC VERIFIED 2011136/2532560 (7.7s)
CRC VERIFIED 2015232/2532560 (7.7s)
CRC VERIFIED 2019328/2532560 (7.8s)
CRC VERIFIED 2023424/2532560 (7.8s)
CRC VERIFIED 2027520/2532560 (7.8s)
CRC VERIFIED 2031616/2532560 (7.8s)
CRC VERIFIED 2035712/2532560 (7.8s)
CRC VERIFIED 2039808/2532560 (7.8s)
CRC VERIFIED 2043904/2532560 (7.9s)
CRC VERIFIED 2048000/2532560 (7.9s)
CRC VERIFIED 2052096/2532560 (7.9s)
CRC VERIFIED 2056192/2532560 (7.9s)
CRC VERIFIED 2060288/2532560 (7.9s)
CRC VERIFIED 2064384/2532560 (7.9s)
CRC VERIFIED 2068480/2532560 (8.0s)
CRC VERIFIED 2072576/2532560 (8.0s)
CRC VERIFIED 2076672/2532560 (8.0s)
CRC VERIFIED 2080768/2532560 (8.0s)
CRC VERIFIED 2084864/2532560 (8.0s)
CRC VERIFIED 2088960/2532560 (8.0s)
CRC VERIFIED 2093056/2532560 (8.0s)
CRC VERIFIED 2097152/2532560 (8.1s)
CRC VERIFIED 2101248/2532560 (8.1s)
CRC VERIFIED 2105344/2532560 (8.1s)
CRC VERIFIED 2109440/2532560 (8.1s)
CRC VERIFIED 2113536/2532560 (8.1s)
CRC VERIFIED 2117632/2532560 (8.1s)
CRC VERIFIED 2121728/2532560 (8.1s)
CRC VERIFIED 2125824/2532560 (8.2s)
CRC VERIFIED 2129920/2532560 (8.2s)
CRC VERIFIED 2134016/2532560 (8.2s)
CRC VERIFIED 2138112/2532560 (8.2s)
CRC VERIFIED 2142208/2532560 (8.2s)
CRC VERIFIED 2146304/2532560 (8.2s)
CRC VERIFIED 2150400/2532560 (8.2s)
CRC VERIFIED 2154496/2532560 (8.3s)
CRC VERIFIED 2158592/2532560 (8.3s)
CRC VERIFIED 2162688/2532560 (8.3s)
CRC VERIFIED 2166784/2532560 (8.3s)
CRC VERIFIED 2170880/2532560 (8.3s)
CRC VERIFIED 2174976/2532560 (8.4s)
CRC VERIFIED 2179072/2532560 (8.4s)
CRC VERIFIED 2183168/2532560 (8.4s)
CRC VERIFIED 2187264/2532560 (8.4s)
CRC VERIFIED 2191360/2532560 (8.4s)
CRC VERIFIED 2195456/2532560 (8.4s)
CRC VERIFIED 2199552/2532560 (8.5s)
CRC VERIFIED 2203648/2532560 (8.5s)
CRC VERIFIED 2207744/2532560 (8.5s)
CRC VERIFIED 2211840/2532560 (8.5s)
CRC VERIFIED 2215936/2532560 (8.5s)
CRC VERIFIED 2220032/2532560 (8.5s)
CRC VERIFIED 2224128/2532560 (8.5s)
CRC VERIFIED 2228224/2532560 (8.6s)
CRC VERIFIED 2232320/2532560 (8.6s)
CRC VERIFIED 2236416/2532560 (8.6s)
CRC VERIFIED 2240512/2532560 (8.6s)
CRC VERIFIED 2244608/2532560 (8.6s)
CRC VERIFIED 2248704/2532560 (8.6s)
CRC VERIFIED 2252800/2532560 (8.7s)
CRC VERIFIED 2256896/2532560 (8.7s)
CRC VERIFIED 2260992/2532560 (8.7s)
CRC VERIFIED 2265088/2532560 (8.7s)
CRC VERIFIED 2269184/2532560 (8.7s)
CRC VERIFIED 2273280/2532560 (8.7s)
CRC VERIFIED 2277376/2532560 (8.8s)
CRC VERIFIED 2281472/2532560 (8.8s)
CRC VERIFIED 2285568/2532560 (8.8s)
