IMAGE 2532560 4b4ee06366ff7cb9d3959ec6f16dc206bf7474cf4466e596f891547261aa925b
CRC VERIFIED 176128/193224 (346.0s)
CRC VERIFIED 180224/193224 (346.0s)
CRC VERIFIED 184320/193224 (346.0s)
CRC VERIFIED 188416/193224 (346.0s)
CRC VERIFIED 192512/193224 (346.1s)
CRC VERIFIED 193224/193224 (346.1s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (346.1s)
CRC VERIFIED 8192/356616 (346.1s)
CRC VERIFIED 12288/356616 (346.1s)
CRC VERIFIED 16384/356616 (346.2s)
CRC VERIFIED 20480/356616 (346.2s)
CRC VERIFIED 24576/356616 (346.2s)
CRC VERIFIED 28672/356616 (346.2s)
CRC VERIFIED 32768/356616 (346.2s)
CRC VERIFIED 36864/356616 (346.2s)
CRC VERIFIED 40960/356616 (346.2s)
CRC VERIFIED 45056/356616 (346.3s)
CRC VERIFIED 49152/356616 (346.3s)
CRC VERIFIED 53248/356616 (346.3s)
CRC VERIFIED 57344/356616 (346.3s)
CRC VERIFIED 61440/356616 (346.3s)
CRC VERIFIED 65536/356616 (346.3s)
CRC VERIFIED 69632/356616 (346.4s)
CRC VERIFIED 73728/356616 (346.4s)
CRC VERIFIED 77824/356616 (346.4s)
CRC VERIFIED 81920/356616 (346.4s)
CRC VERIFIED 86016/356616 (346.4s)
CRC VERIFIED 90112/356616 (346.4s)
CRC VERIFIED 94208/356616 (346.5s)
CRC VERIFIED 98304/356616 (346.5s)
CRC VERIFIED 102400/356616 (346.5s)
CRC VERIFIED 106496/356616 (346.5s)
CRC VERIFIED 110592/356616 (346.5s)
CRC VERIFIED 114688/356616 (346.5s)
CRC VERIFIED 118784/356616 (346.6s)
CRC VERIFIED 122880/356616 (346.6s)
CRC VERIFIED 126976/356616 (346.6s)
CRC VERIFIED 131072/356616 (346.6s)
CRC VERIFIED 135168/356616 (346.6s)
CRC VERIFIED 139264/356616 (346.6s)
CRC VERIFIED 143360/356616 (346.7s)
CRC VERIFIED 147456/356616 (346.7s)
CRC VERIFIED 151552/356616 (346.7s)
CRC VERIFIED 155648/356616 (346.7s)
CRC VERIFIED 159744/356616 (346.7s)
CRC VERIFIED 163840/356616 (346.7s)
CRC VERIFIED 167936/356616 (346.8s)
CRC VERIFIED 172032/356616 (346.8s)
CRC VERIFIED 176128/356616 (346.8s)
CRC VERIFIED 180224/356616 (346.8s)
CRC VERIFIED 184320/356616 (346.8s)
CRC VERIFIED 188416/356616 (346.8s)
CRC VERIFIED 192512/356616 (346.8s)
CRC VERIFIED 196608/356616 (346.9s)
CRC VERIFIED 200704/356616 (346.9s)
CRC VERIFIED 204800/356616 (346.9s)
CRC VERIFIED 208896/356616 (346.9s)
CRC VERIFIED 212992/356616 (346.9s)
CRC VERIFIED 217088/356616 (346.9s)
CRC VERIFIED 221184/356616 (347.0s)
CRC VERIFIED 225280/356616 (347.0s)
CRC VERIFIED 229376/356616 (347.0s)
CRC VERIFIED 233472/356616 (347.0s)
CRC VERIFIED 237568/356616 (347.0s)
CRC VERIFIED 241664/356616 (347.0s)
CRC VERIFIED 245760/356616 (347.0s)
CRC VERIFIED 249856/356616 (347.1s)
CRC VERIFIED 253952/356616 (347.1s)
CRC VERIFIED 258048/356616 (347.1s)
CRC VERIFIED 262144/356616 (347.1s)
CRC VERIFIED 266240/356616 (347.1s)
CRC VERIFIED 270336/356616 (347.1s)
CRC VERIFIED 274432/356616 (347.2s)
CRC VERIFIED 278528/356616 (347.2s)
CRC VERIFIED 282624/356616 (347.2s)
CRC VERIFIED 286720/356616 (347.2s)
CRC VERIFIED 290816/356616 (347.2s)
CRC VERIFIED 294912/356616 (347.2s)
CRC VERIFIED 299008/356616 (347.2s)
CRC VERIFIED 303104/356616 (347.3s)
CRC VERIFIED 307200/356616 (347.3s)
CRC VERIFIED 311296/356616 (347.3s)
CRC VERIFIED 315392/356616 (347.3s)
CRC VERIFIED 319488/356616 (347.3s)
CRC VERIFIED 323584/356616 (347.3s)
CRC VERIFIED 327680/356616 (347.4s)
CRC VERIFIED 331776/356616 (347.4s)
CRC VERIFIED 335872/356616 (347.4s)
CRC VERIFIED 339968/356616 (347.4s)
CRC VERIFIED 344064/356616 (347.4s)
CRC VERIFIED 348160/356616 (347.4s)
CRC VERIFIED 352256/356616 (347.5s)
CRC VERIFIED 356352/356616 (347.5s)
CRC VERIFIED 356616/356616 (347.5s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (347.5s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (347.5s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)

Total: 472847.410/473200.491 ms



Starting kernel ...



- Ready to Boot Primary CPU

RK3576 HCR_EL2=0000000008000032

RK3576 SCTLR_EL1=0000000030d00800

- Boot from EL2

- Boot from EL1

- Boot to C runtime for OS Initialize

[CPU0] arm64_chip_boot: RK3576: MMU enabled

[CPU0] rk3576_uart6_initialize: UART6 M0: 115200 8N1, internal loopback PASS, IRQ114 ttyS1

I/TC: Secondary CPU 1 initializing


I
/TC: Secondary CPU 1 switching to normal world boot

NuttSI/TC: Secondary CPU 4 initializing

heI/TC: Secondary CPU 4 switching to normal world boot

- ReadyI/TC: Secondary CPU 2 initializing

 tI/TC: Secondary CPU 2 switching to normal world boot

-o  RBI/TC: Secondary CPU 5 initializing

-eoo aRtd eya dtSoye cBI/TC: Secondary CPU 5 switching to normal world boot

o otnootI/TC: Secondary CPU 3 initializing

-  d  BSoeReocCtoPaUn dyd
S  e
CtRcoKPo3U nd5
B7o
 oRtKC63P  5HSUCe
7
c6R Ron_HI/TC: Secondary CPU 3 switching to normal world boot

EKdC L3R52_CP=E7L0U60
2=
0 00RH00CK030050R_07060E00 0L02H0C00=R000_000I/TC: Secondary CPU 6 initializing

00-EL000I/TC: Secondary CPU 6 switching to normal world boot

 2020
R0=0e0
00Ra0
0dK
0I/TC: Secondary CPU 7 initializing

Ry03-05 K0 003R0t760o05e 7 a0B060dSyoC00 0 TSo0I/TC: Secondary CPU 7 switching to normal world boot

L2tCt0T0R
o 
0LS_ B0eERRL0o_K13E
coL
=5tonR1 076K0d=S0 e030c5- 0So7 0CC00RnP060 Ued0
0 ST0ad
CL3C0RPy0R0TKU L_d330EtR
05d
oL_ 70R01EB0LK68=38o10000= 50o7t000H

00C
6 
-0 SR0-H_0e0EC 0 0co00BRBLno3_0o2o0o0E=d0tt d3L20C0 0 ff=d00P0U0r0r80oo
00m000m8
0R00  000EKE0
L
0
0L32
0-025-700 

0B
 6
0o00B H0oo0oCt002R 0t
f_ 00fE
rR0roLK2mo
 m3=
E R05LE70K02L360
527

0 
06SC 0T0SC0LR0TL0_E0R_0EL01L001==
00
0R0K00030050700600 30SC00d3T00Ld0R_80E00L800
1=0

0- 0
B0o0- 0ot0B o00fo3rot0 mdf0 0ELr820o
m0
 
E
-L 2B
o
ot from EL2

ll (NSH)

nsh> [K- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot from EL1

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS Initialize

- Boot to C runtime for OS I- nBiotoital itzo eC
 
runtime for OS Initialize


PASS: REAL K7 NSH
