IMAGE 2212608 7fa95ddfeeee2de9d832cbf7cf10a440c5fef158b0a11811deeee6b885cc2b75
RESUME: preserved snapshot; destination and source blocks require CRC
STAGE openvela 0x40400000 2212608
RAM REUSE VERIFIED 1503232
RAM REUSE VERIFIED 1507328
RAM REUSE VERIFIED 1511424
RAM REUSE VERIFIED 1515520
RAM REUSE VERIFIED 1519616
RAM REUSE VERIFIED 1523712
RAM REUSE VERIFIED 1527808
RAM REUSE VERIFIED 1531904
RAM REUSE VERIFIED 1536000
RAM REUSE VERIFIED 1540096
RAM REUSE VERIFIED 1544192
RAM REUSE VERIFIED 1548288
RAM REUSE VERIFIED 1552384
RAM REUSE VERIFIED 1556480
RAM REUSE VERIFIED 1560576
RAM REUSE VERIFIED 1564672
RAM REUSE VERIFIED 1568768
RAM REUSE VERIFIED 1572864
RAM REUSE VERIFIED 1576960
RAM REUSE VERIFIED 1581056
RAM REUSE VERIFIED 1585152
RAM REUSE VERIFIED 1589248
RAM REUSE VERIFIED 1593344
RAM REUSE VERIFIED 1597440
RAM REUSE VERIFIED 1601536
RAM REUSE VERIFIED 1605632
RAM REUSE VERIFIED 1609728
RAM REUSE VERIFIED 1613824
RAM REUSE VERIFIED 1617920
RAM REUSE VERIFIED 1622016
RAM REUSE VERIFIED 1626112
RAM REUSE VERIFIED 1630208
RAM REUSE VERIFIED 1634304
RAM REUSE VERIFIED 1638400
RAM REUSE VERIFIED 1642496
RAM REUSE VERIFIED 1646592
RAM REUSE VERIFIED 1650688
RAM REUSE VERIFIED 1654784
RAM REUSE VERIFIED 1658880
RAM REUSE VERIFIED 1662976
RAM REUSE VERIFIED 1667072
RAM REUSE VERIFIED 1671168
RAM REUSE VERIFIED 1675264
RAM REUSE VERIFIED 1679360
RAM REUSE VERIFIED 1683456
RAM REUSE VERIFIED 1687552
RAM REUSE VERIFIED 1691648
RAM REUSE VERIFIED 1695744
RAM REUSE VERIFIED 1699840
RAM REUSE VERIFIED 1703936
RAM REUSE VERIFIED 1708032
RAM REUSE VERIFIED 1712128
RAM REUSE VERIFIED 1716224
RAM REUSE VERIFIED 1720320
RAM REUSE VERIFIED 1724416
RAM REUSE VERIFIED 1728512
RAM REUSE VERIFIED 1732608
RAM REUSE VERIFIED 1736704
RAM REUSE VERIFIED 1740800
RAM REUSE VERIFIED 1744896
RAM REUSE VERIFIED 1748992
RAM REUSE VERIFIED 1753088
RAM REUSE VERIFIED 1757184
RAM REUSE VERIFIED 1761280
RAM REUSE VERIFIED 1765376
RAM REUSE VERIFIED 1769472
RAM REUSE VERIFIED 1773568
RAM REUSE VERIFIED 1777664
RAM REUSE VERIFIED 1781760
RAM REUSE VERIFIED 1785856
RAM REUSE VERIFIED 1789952
RAM REUSE VERIFIED 1794048
RAM REUSE VERIFIED 1798144
RAM REUSE VERIFIED 1802240
RAM REUSE VERIFIED 1806336
RAM REUSE VERIFIED 1810432
RAM REUSE VERIFIED 1814528
RAM REUSE VERIFIED 1818624
RAM REUSE VERIFIED 1822720
RAM REUSE VERIFIED 1826816
RAM REUSE VERIFIED 1830912
RAM REUSE VERIFIED 1835008
RAM REUSE VERIFIED 1839104
RAM REUSE VERIFIED 1843200
RAM REUSE VERIFIED 1847296
RAM REUSE VERIFIED 1851392
RAM REUSE VERIFIED 1855488
RAM REUSE VERIFIED 1859584
RAM REUSE VERIFIED 1863680
RAM REUSE VERIFIED 1867776
RAM REUSE VERIFIED 1871872
RAM REUSE VERIFIED 1875968
RAM REUSE VERIFIED 1880064
RAM REUSE VERIFIED 1884160
RAM REUSE VERIFIED 1888256
RAM REUSE VERIFIED 1892352
RAM REUSE VERIFIED 1896448
RAM REUSE VERIFIED 1900544
RAM REUSE VERIFIED 1904640
RAM REUSE VERIFIED 1908736
RAM REUSE VERIFIED 1912832
RAM REUSE VERIFIED 1916928
RAM REUSE VERIFIED 1921024
RAM REUSE VERIFIED 1925120
RAM REUSE VERIFIED 1929216
RAM REUSE VERIFIED 1933312
RAM REUSE VERIFIED 1937408
RAM REUSE VERIFIED 1941504
RAM REUSE VERIFIED 1945600
RAM REUSE VERIFIED 1949696
RAM REUSE VERIFIED 1953792
RAM REUSE VERIFIED 1957888
RAM REUSE VERIFIED 1961984
RAM REUSE VERIFIED 1966080
