IMAGE 2212608 7fa95ddfeeee2de9d832cbf7cf10a440c5fef158b0a11811deeee6b885cc2b75
RESUME: preserved snapshot; destination and source blocks require CRC
STAGE openvela 0x40400000 2212608
CRC VERIFIED 720896/2212608 (2.8s)
CRC VERIFIED 724992/2212608 (2.8s)
CRC VERIFIED 729088/2212608 (2.8s)
CRC VERIFIED 733184/2212608 (2.8s)
CRC VERIFIED 737280/2212608 (2.8s)
CRC VERIFIED 741376/2212608 (2.8s)
CRC VERIFIED 745472/2212608 (2.9s)
CRC VERIFIED 749568/2212608 (2.9s)
CRC VERIFIED 753664/2212608 (2.9s)
CRC VERIFIED 757760/2212608 (2.9s)
CRC VERIFIED 761856/2212608 (2.9s)
CRC VERIFIED 765952/2212608 (2.9s)
CRC VERIFIED 770048/2212608 (3.0s)
CRC VERIFIED 774144/2212608 (3.0s)
CRC VERIFIED 778240/2212608 (3.0s)
CRC VERIFIED 782336/2212608 (3.0s)
CRC VERIFIED 786432/2212608 (3.0s)
CRC VERIFIED 790528/2212608 (3.0s)
CRC VERIFIED 794624/2212608 (3.0s)
CRC VERIFIED 798720/2212608 (3.1s)
CRC VERIFIED 802816/2212608 (3.1s)
CRC VERIFIED 806912/2212608 (3.1s)
CRC VERIFIED 811008/2212608 (3.1s)
CRC VERIFIED 815104/2212608 (3.1s)
CRC VERIFIED 819200/2212608 (3.1s)
CRC VERIFIED 823296/2212608 (3.2s)
CRC VERIFIED 827392/2212608 (3.2s)
CRC VERIFIED 831488/2212608 (3.2s)
CRC VERIFIED 835584/2212608 (3.2s)
CRC VERIFIED 839680/2212608 (3.2s)
CRC VERIFIED 843776/2212608 (3.2s)
CRC VERIFIED 847872/2212608 (3.2s)
CRC VERIFIED 851968/2212608 (3.3s)
CRC VERIFIED 856064/2212608 (3.3s)
CRC VERIFIED 860160/2212608 (3.3s)
CRC VERIFIED 864256/2212608 (3.3s)
CRC VERIFIED 868352/2212608 (3.3s)
CRC VERIFIED 872448/2212608 (3.3s)
CRC VERIFIED 876544/2212608 (3.4s)
CRC VERIFIED 880640/2212608 (3.4s)
CRC VERIFIED 884736/2212608 (3.4s)
CRC VERIFIED 888832/2212608 (3.4s)
CRC VERIFIED 892928/2212608 (3.4s)
CRC VERIFIED 897024/2212608 (3.4s)
CRC VERIFIED 901120/2212608 (3.5s)
CRC VERIFIED 905216/2212608 (3.5s)
CRC VERIFIED 909312/2212608 (3.5s)
CRC VERIFIED 913408/2212608 (3.5s)
CRC VERIFIED 917504/2212608 (3.5s)
CRC VERIFIED 921600/2212608 (3.5s)
CRC VERIFIED 925696/2212608 (3.5s)
CRC VERIFIED 929792/2212608 (3.6s)
CRC VERIFIED 933888/2212608 (3.6s)
CRC VERIFIED 937984/2212608 (3.6s)
CRC VERIFIED 942080/2212608 (3.6s)
CRC VERIFIED 946176/2212608 (3.6s)
CRC VERIFIED 950272/2212608 (3.6s)
CRC VERIFIED 954368/2212608 (3.7s)
CRC VERIFIED 958464/2212608 (3.7s)
CRC VERIFIED 962560/2212608 (3.7s)
CRC VERIFIED 966656/2212608 (3.7s)
CRC VERIFIED 970752/2212608 (3.7s)
CRC VERIFIED 974848/2212608 (3.7s)
CRC VERIFIED 978944/2212608 (3.8s)
CRC VERIFIED 983040/2212608 (3.8s)
CRC VERIFIED 987136/2212608 (3.8s)
CRC VERIFIED 991232/2212608 (3.8s)
CRC VERIFIED 995328/2212608 (3.8s)
CRC VERIFIED 999424/2212608 (3.8s)
CRC VERIFIED 1003520/2212608 (3.8s)
CRC VERIFIED 1007616/2212608 (3.9s)
CRC VERIFIED 1011712/2212608 (3.9s)
CRC VERIFIED 1015808/2212608 (3.9s)
CRC VERIFIED 1019904/2212608 (3.9s)
CRC VERIFIED 1024000/2212608 (3.9s)
CRC VERIFIED 1028096/2212608 (3.9s)
CRC VERIFIED 1032192/2212608 (4.0s)
CRC VERIFIED 1036288/2212608 (4.0s)
CRC VERIFIED 1040384/2212608 (4.0s)
CRC VERIFIED 1044480/2212608 (4.0s)
CRC VERIFIED 1048576/2212608 (4.0s)
CRC VERIFIED 1052672/2212608 (4.0s)
CRC VERIFIED 1056768/2212608 (4.0s)
CRC VERIFIED 1060864/2212608 (4.1s)
CRC VERIFIED 1064960/2212608 (4.1s)
CRC VERIFIED 1069056/2212608 (4.1s)
CRC VERIFIED 1073152/2212608 (4.1s)
CRC VERIFIED 1077248/2212608 (4.1s)
CRC VERIFIED 1081344/2212608 (4.1s)
CRC VERIFIED 1085440/2212608 (4.2s)
CRC VERIFIED 1089536/2212608 (4.2s)
CRC VERIFIED 1093632/2212608 (4.2s)
CRC VERIFIED 1097728/2212608 (4.2s)
CRC VERIFIED 1101824/2212608 (4.2s)
CRC VERIFIED 1105920/2212608 (4.2s)
CRC VERIFIED 1110016/2212608 (4.2s)
CRC VERIFIED 1114112/2212608 (4.3s)
CRC VERIFIED 1118208/2212608 (4.3s)
CRC VERIFIED 1122304/2212608 (4.3s)
CRC VERIFIED 1126400/2212608 (4.3s)
CRC VERIFIED 1130496/2212608 (4.3s)
CRC VERIFIED 1134592/2212608 (4.3s)
CRC VERIFIED 1138688/2212608 (4.4s)
CRC VERIFIED 1142784/2212608 (4.4s)
CRC VERIFIED 1146880/2212608 (4.4s)
CRC VERIFIED 1150976/2212608 (4.4s)
CRC VERIFIED 1155072/2212608 (4.4s)
CRC VERIFIED 1159168/2212608 (4.4s)
CRC VERIFIED 1163264/2212608 (4.5s)
