IMAGE 2229232 bc1ec4b367e5eb46f3f629ef69658aae316cbb938f0eb4627b22d39f9cecdf29
RESUME: preserved snapshot; destination and source blocks require CRC
STAGE openvela 0x40400000 2229232
CRC VERIFIED 901120/2229232 (3.5s)
CRC VERIFIED 905216/2229232 (3.5s)
CRC VERIFIED 909312/2229232 (3.5s)
CRC VERIFIED 913408/2229232 (3.5s)
CRC VERIFIED 917504/2229232 (3.5s)
CRC VERIFIED 921600/2229232 (3.5s)
CRC VERIFIED 925696/2229232 (3.5s)
CRC VERIFIED 929792/2229232 (3.6s)
CRC VERIFIED 933888/2229232 (3.6s)
CRC VERIFIED 937984/2229232 (3.6s)
CRC VERIFIED 942080/2229232 (3.6s)
CRC VERIFIED 946176/2229232 (3.6s)
CRC VERIFIED 950272/2229232 (3.6s)
CRC VERIFIED 954368/2229232 (3.7s)
CRC VERIFIED 958464/2229232 (3.7s)
CRC VERIFIED 962560/2229232 (3.7s)
CRC VERIFIED 966656/2229232 (3.7s)
CRC VERIFIED 970752/2229232 (3.7s)
CRC VERIFIED 974848/2229232 (3.7s)
CRC VERIFIED 978944/2229232 (3.8s)
CRC VERIFIED 983040/2229232 (3.8s)
CRC VERIFIED 987136/2229232 (3.8s)
CRC VERIFIED 991232/2229232 (3.8s)
CRC VERIFIED 995328/2229232 (3.8s)
CRC VERIFIED 999424/2229232 (3.8s)
CRC VERIFIED 1003520/2229232 (3.8s)
CRC VERIFIED 1007616/2229232 (3.9s)
CRC VERIFIED 1011712/2229232 (3.9s)
CRC VERIFIED 1015808/2229232 (3.9s)
CRC VERIFIED 1019904/2229232 (3.9s)
CRC VERIFIED 1024000/2229232 (3.9s)
CRC VERIFIED 1028096/2229232 (3.9s)
CRC VERIFIED 1032192/2229232 (4.0s)
CRC VERIFIED 1036288/2229232 (4.0s)
CRC VERIFIED 1040384/2229232 (4.0s)
CRC VERIFIED 1044480/2229232 (4.0s)
CRC VERIFIED 1048576/2229232 (4.0s)
CRC VERIFIED 1052672/2229232 (4.0s)
CRC VERIFIED 1056768/2229232 (4.0s)
CRC VERIFIED 1060864/2229232 (4.1s)
CRC VERIFIED 1064960/2229232 (4.1s)
CRC VERIFIED 1069056/2229232 (4.1s)
CRC VERIFIED 1073152/2229232 (4.1s)
CRC VERIFIED 1077248/2229232 (4.1s)
CRC VERIFIED 1081344/2229232 (4.1s)
CRC VERIFIED 1085440/2229232 (4.2s)
CRC VERIFIED 1089536/2229232 (4.2s)
CRC VERIFIED 1093632/2229232 (4.2s)
